Sentinel,Deception,Fake Trap. If activated. discard this card. if destroyed. deal 1 damage to the destroyer,Deception.png
Sentinel,Constriction,Stun Trap. Haxxor cannot move 1 space on their next turn ,Constriction.png
Sentinel,Incision,Damage trap. deal 1 damage,Incision.png
Sentinel,Decomposition,Discard Card Trap. If activated. Discard a card from the activators hand,Decomposition.png
Sentinel,Prescription,Draw Trap. If activated. you draw a card,Prescription.png
Sentinel,Bypass,<Bypass> Negates an ability. Lock this card after use,BYPASS(2).png
Sentinel,Landmine,<Trap> if an entity lands on this structure. Deal 1 DMG to this hexagon and all adjacent hexagons,Landmine.png
Sentinel,Nullification,If activated. the activator skips their next turn,Nullification.png
Sentinel,Inspiration,RNG Trap with the use of the digital companion,INSPIRATION.png
Sentinel,Erasion,<Ultimate Trap>  If activated. Lock 1 Card from each of the haxxors hands at randomAll other Ultimate Sentinel Cards now have no effect. discard and redraw if you draw one,ERASION.png
Sentinel,Conclusion,<Ultimate Trap>  Can only be used once 5 traps have been sprung. Destroy the haxxor who activates this trap. All other Ultimate Sentinel Cards now have no effect. redraw if you draw one,CONCLUSION.png
Sentinel,Binary Bunny,REACTION: When you are a sentinel. summon a binary bunny,BINARY_BUNNY.png
Sentinel,Warrior,Attack: Deal 1 Damage to adjacent Haxxor,WARRIOR.png
Sentinel,Pusher,Push: Push an adjacent haxxor or structure one space,PUSHER.png
Sentinel,Golem,Recalibrate: Select an adjacent haxxor structure. it is now a sentinel structure,GOLEM.png
Sentinel,Cleric,Heal: Heal 1 DMG to selected target,CLERIC.png
Sentinel,DigiBite,Choose 1 Haxxor. if there is a Digital next to it. Deal 1 DMG to that haxxor,DIGIBITE.png
Sentinel,Joker,<Digital>Trap absorption: Jokers absorb the effect of traps they activate. Harlequin Strike: Inflict any absorbed effects onto an adjacent haxxor. reset current stored effects,JOKER.png
Sentinel,Artillery,"Select  a Digital. it gains ""Attack""",ARTILLERY.png
Sentinel,Swap,Choose 1 Haxxor and 1 Non-Ultimate Digital. switch their positions,SWAP.png
Sentinel,Kronos,<Ultimate Digital> When spawned it gains the property inevitable. When kronos lands on the player spawn hex. delete this digital and Haxxors are teleported to the player spawn hexs. All other Ultimate Sentinel Cards now have no effect. redraw if you draw one,KRONOS.png
Sentinel,Bunderworld,"<Ultimate> Once Per Turn. Summon a Binary Bunny. If there are 5 binary bunnies on the field. all bunnies gain ""Attack""  All other Ultimate Sentinel Cards now have no effect. redraw if you draw one",BUNDERWORLD.png
Sentinel,Protocol of Greed,Draw 2 cards. then discard 1 card,PROTOCOL_OF_GREED.png
Sentinel,Protocol of Sight,Look at the top 3 cards of your deck,PROTOCOL_OF_SIGHT.png
Sentinel,Firewall,Put down 3 structure tokens. they can be destroyed in 1 hit,FIREWALL.png
Sentinel,Cyber Conduit,Put down 1 Structure token. if there are two cyber conduits on the field. then once per turn. you may look at the top card of your deck,CYBER_CONDUIT.png
Sentinel,Shield,Put down 1 structure token on an existing structure. if the structure is attacked. destroy this structure instead,SHIELD.png
Sentinel,Barbed wire,Put down 1 structure token. any entity that lands on this structure token is dealt 1 damage,BARBED_WIRE.png
Sentinel,BrainFreezer,Put down 1 structure token. all reaction abilities cannot be used while this structure is active,BRAIN_FREEZER.png
Sentinel,Orbital Cannon,<Ultimate Structure> Once per turn. deal 1 damage to all opponents. All other Ultimate Sentinel Cards now have no effect. redraw if you draw one,ORBITAL_CANNON.png
